-1	0.001	1
-0.95	0.001	1
-0.9	0.001	1
-0.85	0.001	1
-0.8	0.001	1
-0.75	0.001	1
-0.7	0.001	1
-0.65	0.001	1
-0.6	0.001	1
-0.55	0.001	1
-0.5	0.001	1
-0.45	0.001	1
-0.4	0.001	1
-0.35	0.001	1
-0.3	0.001	1
-0.25	0.001	1
-0.2	0.001	1
-0.15	0.001	1
-0.1	0.001	1
-0.05	0.001	1
5.55112e-17	0.001	1
0.05	0.001	1
0.1	0.001	1
0.15	0.001	1
0.2	0.001	0
0.25	0.001	0
0.3	0.001	0
0.35	0.001	0
0.4	0.001	0
-1	0.00177828	1
-0.95	0.00177828	1
-0.9	0.00177828	1
-0.85	0.00177828	1
-0.8	0.00177828	1
-0.75	0.00177828	1
-0.7	0.00177828	1
-0.65	0.00177828	1
-0.6	0.00177828	1
-0.55	0.00177828	1
-0.5	0.00177828	1
-0.45	0.00177828	1
-0.4	0.00177828	1
-0.35	0.00177828	1
-0.3	0.00177828	1
-0.25	0.00177828	1
-0.2	0.00177828	1
-0.15	0.00177828	1
-0.1	0.00177828	1
-0.05	0.00177828	1
5.55112e-17	0.00177828	1
0.05	0.00177828	1
0.1	0.00177828	1
0.15	0.00177828	1
0.2	0.00177828	0
0.25	0.00177828	0
0.3	0.00177828	0
0.35	0.00177828	0
0.4	0.00177828	0
-1	0.00316228	1
-0.95	0.00316228	1
-0.9	0.00316228	1
-0.85	0.00316228	1
-0.8	0.00316228	1
-0.75	0.00316228	1
-0.7	0.00316228	1
-0.65	0.00316228	1
-0.6	0.00316228	1
-0.55	0.00316228	1
-0.5	0.00316228	1
-0.45	0.00316228	1
-0.4	0.00316228	1
-0.35	0.00316228	1
-0.3	0.00316228	1
-0.25	0.00316228	1
-0.2	0.00316228	1
-0.15	0.00316228	1
-0.1	0.00316228	1
-0.05	0.00316228	1
5.55112e-17	0.00316228	1
0.05	0.00316228	1
0.1	0.00316228	1
0.15	0.00316228	1
0.2	0.00316228	0
0.25	0.00316228	0
0.3	0.00316228	0
0.35	0.00316228	0
0.4	0.00316228	0
-1	0.00562341	1
-0.95	0.00562341	1
-0.9	0.00562341	1
-0.85	0.00562341	1
-0.8	0.00562341	1
-0.75	0.00562341	1
-0.7	0.00562341	1
-0.65	0.00562341	1
-0.6	0.00562341	1
-0.55	0.00562341	1
-0.5	0.00562341	1
-0.45	0.00562341	1
-0.4	0.00562341	1
-0.35	0.00562341	1
-0.3	0.00562341	1
-0.25	0.00562341	1
-0.2	0.00562341	1
-0.15	0.00562341	1
-0.1	0.00562341	1
-0.05	0.00562341	1
5.55112e-17	0.00562341	1
0.05	0.00562341	1
0.1	0.00562341	1
0.15	0.00562341	1
0.2	0.00562341	0
0.25	0.00562341	0
0.3	0.00562341	0
0.35	0.00562341	0
0.4	0.00562341	0
-1	0.01	1
-0.95	0.01	1
-0.9	0.01	1
-0.85	0.01	1
-0.8	0.01	1
-0.75	0.01	1
-0.7	0.01	1
-0.65	0.01	1
-0.6	0.01	1
-0.55	0.01	1
-0.5	0.01	1
-0.45	0.01	1
-0.4	0.01	1
-0.35	0.01	1
-0.3	0.01	1
-0.25	0.01	1
-0.2	0.01	1
-0.15	0.01	1
-0.1	0.01	1
-0.05	0.01	1
5.55112e-17	0.01	1
0.05	0.01	1
0.1	0.01	1
0.15	0.01	1
0.2	0.01	0
0.25	0.01	0
0.3	0.01	0
0.35	0.01	0
0.4	0.01	0
-1	0.0177828	1
-0.95	0.0177828	1
